0	1	4
0	3	3
0	11	4
0	13	6
0	17	1
0	74	1
0	76	5
0	84	1
0	148	1
0	159	1
0	161	36
0	199	1
0	244	2
0	258	19
0	287	5
0	392	2
0	463	9
0	593	1
0	595	4
0	655	2
0	695	4
0	817	5
0	825	2
0	1002	1
0	1036	1
0	1160	1
0	1338	1
0	1348	2
0	1437	1
0	1448	13
0	2069	1
0	2142	2
0	2326	1
0	2443	1
0	2580	2
0	2718	2
0	2837	1
0	2849	20
0	3259	1
0	3354	3
0	3487	4
0	3835	4
0	4013	1
0	4017	5
0	4032	37
0	4223	1
0	5304	12
0	5357	2
0	5424	1
0	5572	1
0	5634	1
0	5847	1
0	5962	1
0	6516	5
0	6608	3
0	6665	26
0	6898	1
0	7052	2
0	7161	2
0	7307	1
0	7314	1
0	7494	1
0	8059	1
0	8417	1
0	8434	18
0	8550	1
0	8822	1
0	9057	1
0	9376	1
0	9460	1
0	9950	1
1	0	17
1	2	1
1	7	1
1	11	9
1	22	1
1	25	2
1	32	3
1	34	1
1	35	12
1	36	1
1	47	16
1	51	1
1	101	1
1	116	3
1	169	1
1	176	1
1	252	1
1	263	3
1	309	2
1	365	1
1	370	2
1	391	1
1	408	1
1	510	3
1	522	2
1	525	2
1	538	1
1	571	7
1	684	2
1	775	1
1	783	4
1	800	1
1	954	28
1	960	3
1	1006	1
1	1024	12
1	1058	1
1	1112	10
1	1180	3
1	1249	1
1	1326	1
1	1380	1
1	1381	3
1	1401	26
1	1404	1
1	1416	15
1	1488	23
1	1540	2
1	1603	2
1	1629	1
1	1643	4
1	1645	1
1	1932	7
1	1958	10
1	1973	29
1	2004	2
1	2075	1
1	2633	1
1	2680	1
1	2867	1
1	2951	2
1	3125	7
1	3146	2
1	3208	5
1	3373	1
1	3397	5
1	3417	1
1	3470	1
1	3549	1
1	3624	1
1	4254	3
1	4658	2
1	5148	1
1	5220	1
1	5253	141
1	5330	1
1	5386	3
1	5582	1
1	5659	2
1	6422	2
1	6606	3
1	6881	1
1	6896	1
1	6976	1
1	7409	1
1	7549	1
1	7730	1
1	8255	1
1	8672	3
1	8687	3
1	8871	10
1	9119	1
1	9664	2
1	9977	1
2	1	11
2	20	2
2	30	5
2	49	6
2	61	2
2	81	1
2	129	2
2	259	2
2	319	1
2	411	1
2	516	1
2	574	1
2	1174	1
2	1377	3
2	1601	11
2	2156	6
2	2491	11
2	2756	7
2	3462	3
2	4522	4
2	4833	3
2	4848	1
2	5031	2
2	5489	1
2	6366	2
2	6442	1
2	7260	2
2	7454	1
2	7768	3
2	7902	4
2	8942	2
3	1	2
3	4	1
3	6	3
3	40	1
3	41	1
3	43	1
3	48	5
3	72	2
3	81	1
3	100	181
3	158	1
3	182	1
3	187	1
3	247	23
3	318	1
3	346	1
3	369	2
3	422	1
3	461	8
3	503	4
3	573	1
3	582	1
3	591	3
3	628	2
3	765	6
3	830	14
3	833	3
3	837	1
3	885	1
3	918	2
3	933	1
3	949	6
3	1000	1
3	1026	2
3	1067	9
3	1335	1
3	1394	2
3	1412	2
3	1599	1
3	1638	2
3	1646	1
3	1730	1
3	1750	1
3	1779	4
3	1788	2
3	1793	3
3	1892	1
3	1922	1
3	1976	1
3	2003	1
3	2034	1
3	2225	1
3	2226	5
3	2390	303
3	2502	2
3	2709	1
3	2807	1
3	2920	1
3	3316	1
3	3495	2
3	3504	2
3	3965	1
3	4004	1
3	4260	3
3	4382	3
3	4398	1
3	4522	97
3	4587	2
3	4918	1
3	4939	15
3	5519	1
3	5689	1
3	5918	3
3	6120	1
3	6877	3
3	7102	4
3	7209	1
3	7439	16
3	7666	1
3	7798	1
3	7857	1
3	7961	2
3	8191	21
3	8345	1
3	8394	2
3	8674	1
3	8724	1
3	9931	1
3	9947	1
4	0	2
4	7	8
4	13	2
4	27	1
4	42	10
4	133	1
4	371	2
4	483	1
4	630	2
4	737	1
4	816	1
4	946	3
4	1025	7
4	2096	1
4	2494	1
4	2655	3
4	2707	1
4	3020	1
4	3136	1
4	3393	1
4	4237	3
4	4275	1
4	4758	1
4	4988	11
4	5975	1
4	7792	1
4	7802	62
4	8151	2
5	3	3
5	1	1
5	12	2
5	14	1
5	16	2
5	17	1
5	20	1
5	66	1
5	93	4
5	95	7
5	113	5
5	117	1
5	123	1
5	127	3
5	148	1
5	183	5
5	265	40
5	309	1
5	321	2
5	349	1
5	355	1
5	501	4
5	503	2
5	532	3
5	550	2
5	592	1
5	617	1
5	667	1
5	867	2
5	915	3
5	1020	10
5	1166	6
5	1298	1
5	1331	1
5	1344	1
5	1368	2
5	1752	2
5	2103	8
5	2181	1
5	2238	1
5	2504	3
5	2551	1
5	2654	11
5	2695	1
5	2770	2
5	2782	1
5	2906	1
5	2983	1
5	3039	6
5	3273	2
5	3280	16
5	3414	6
5	3567	1
5	3599	2
5	3614	1
5	3802	11
5	3873	2
5	3973	4
5	4064	4
5	4235	2
5	4441	1
5	4547	21
5	4699	2
5	4866	1
5	5181	28
5	5263	19
